Truck ID,Component Description,Category Group,Installation Date,Age (Days),Current Health (%),Projected 50% Date
30012224,GAS REFRIGERANTE 1KG SUVA 134,CLUSTER_13,2025-08-20,294,76.1,Exceeds Model Limit
30012242,GAS REFRIGERANTE 1KG SUVA 134,CLUSTER_13,2025-08-22,292,76.1,Exceeds Model Limit
30013023,CABLE TERMAFLEX 2/0 130015,CLUSTER_15,2025-06-18,357,76.1,Exceeds Model Limit
30012828,BOTE DE GAS FRION,CLUSTER_8,2025-04-10,426,76.0,Exceeds Model Limit
30012227,POLEA LOCA,CLUSTER_19,2025-08-21,293,75.8,Exceeds Model Limit
30013014,ACEITE MOBIL DTE 26 208LT - TELLUS 68,CLUSTER_15,2025-05-26,380,75.8,Exceeds Model Limit
30012832,RESORTE 467077,CLUSTER_20,2025-01-18,508,75.6,Exceeds Model Limit
30013013,ACEITE MOBIL DTE 26 208LT - TELLUS 68,CLUSTER_15,2025-04-21,415,75.6,Exceeds Model Limit
30013041,ACEITE MOBIL DTE 26 208LT - TELLUS 68,CLUSTER_15,2025-04-21,415,75.6,Exceeds Model Limit
30009430,GRASA LUBRIPLATE 284GR,CLUSTER_20,2026-01-27,134,75.5,Exceeds Model Limit
30012828,CONEXION EN T,CLUSTER_19,2025-04-10,426,75.5,Exceeds Model Limit
30013050,BARRA CUADRADA ACERO 1/2PUL,CLUSTER_8,2024-10-23,595,75.5,Exceeds Model Limit
30012225,BANDA GANZO 240421009,CLUSTER_20,2025-06-19,356,75.4,Exceeds Model Limit
30012225,CONECTOR P/MANIJA CONTROL 060.110205,CLUSTER_20,2025-06-19,356,75.4,Exceeds Model Limit
30012331,AIRE EVA PORTATIL # F3600P-CM / F3700P-C,CLUSTER_22,2025-07-14,331,75.2,Exceeds Model Limit
30012331,VACUOMETRO 260-00422,CLUSTER_13,2025-06-25,350,75.2,Exceeds Model Limit
30013409,AIRE EVA PORTATIL # F3600P-CM / F3700P-C,CLUSTER_22,2025-07-14,331,75.2,Exceeds Model Limit
30004334,VALVULA SEGURIDAD 1/4PUL 150LB MOD 5A70,CLUSTER_11,2025-10-30,223,75.1,2029-12-28
30009419,DISPOSICION DE MATERIAL POR UNIDAD EN CA,CLUSTER_22,2026-02-06,124,75.1,2029-09-13
30012331,BOMBA HIDRAULICA EATON 990008-022,CLUSTER_20,2025-05-14,392,75.0,Exceeds Model Limit
30012830,"SUMINISTRO, FABRICACION E INSTALACION DE",CLUSTER_17,2025-11-27,195,75.0,Exceeds Model Limit
30012832,"SUMINISTRO, FABRICACION E INSTALACION DE",CLUSTER_17,2025-11-27,195,75.0,Exceeds Model Limit
30012833,"SUMINISTRO, FABRICACION E INSTALACION DE",CLUSTER_17,2025-11-27,195,75.0,Exceeds Model Limit
30013009,"SUMINISTRO, FABRICACION E INSTALACION DE",CLUSTER_17,2025-11-27,195,75.0,Exceeds Model Limit
30013051,"SUMINISTRO, FABRICACION E INSTALACION DE",CLUSTER_17,2025-11-27,195,75.0,Exceeds Model Limit
30013219,"SUMINISTRO, FABRICACION E INSTALACION DE",CLUSTER_17,2025-11-27,195,75.0,Exceeds Model Limit
30012225,CABLE # 4 orquesta,CLUSTER_21,2025-10-31,222,74.9,Exceeds Model Limit
30012225,TOALLITAS DESINFECTANTE LYSOL 35PZ,CLUSTER_20,2025-04-16,420,74.8,Exceeds Model Limit
30009627,DISPOSICION DE MATERIAL POR UNIDAD EN CA,CLUSTER_22,2026-02-06,124,74.7,2030-06-15
30012245,UNIDAD SILVIN H4656,CLUSTER_21,2025-10-17,236,74.7,Exceeds Model Limit
30012251,UNIDAD SILVIN H4656,CLUSTER_21,2025-10-17,236,74.7,Exceeds Model Limit
30006613,VALVULA SEGURIDAD 1/4PUL 150LB MOD 5A70,CLUSTER_11,2026-01-07,154,74.5,2029-04-16
30012227,CILINDRO P/CANALON SITRAK 67015,CLUSTER_20,2025-02-13,482,74.4,Exceeds Model Limit
30012331,PELOTA DURA 10002838 P/LIMPIEZA,CLUSTER_20,2025-02-05,490,74.4,Exceeds Model Limit
30006612,BUJE BASE CANALON 08082256,CLUSTER_11,2026-02-10,120,74.3,2028-10-07
30012245,DESENGRASANTE FAST ORANGE,CLUSTER_20,2025-01-03,523,74.3,Exceeds Model Limit
30012245,LUBRICADOR P/CADENA EN AEROSOL,CLUSTER_20,2025-01-03,523,74.3,Exceeds Model Limit
30013042,GAUGE P/PRECION D/AIRE,CLUSTER_9,2025-11-08,214,74.3,2031-07-05
30012330,MARCADOR AMARILLO P/METAL,CLUSTER_20,2024-12-05,552,74.2,Exceeds Model Limit
